2025-11-12 08:48:48 [INFO] Terhubung ke Milvus DB: face_demo.db
2025-11-12 08:48:48 [INFO] Membuat collection baru: face_embeddings
2025-11-12 08:48:52 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:05 [INFO] Terhubung ke Milvus DB: face_demo.db
2025-11-12 08:50:07 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:07 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:08 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:08 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:08 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:09 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:09 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:09 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:10 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:10 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:10 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:10 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:11 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:11 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:11 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:12 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:12 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:12 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:13 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:13 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:13 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:13 [INFO] Search berhasil, ditemukan 0 hasil.
2025-11-12 08:50:14 [INFO] Search berhasil, ditemukan 0 hasil.
